id,title,notes,purpose,license_title,license_id,num_resources,tag_string,num_tags,metadata_created,metadata_modified,organization_title,organization_name,maintainer,maintainer_email,url,package_title_id
434e95fe-4814-4ce5-9849-acb55b337880,"1 Дані щодо кількості зареєстрованих безробітних та надання їм послуг, а також кількості зареєстрованих вакансій","Дані щодо кількості зареєстрованих безробітних та надання їм послуг,  а також  кількості зареєстрованих вакансій",Постанова КМУ №835 від 21.10.2015,Creative Commons Attribution,cc-by,22,безробітні,1,2019-08-14,2020-09-10,Державна служба зайнятості,derzhavna-sluzhba-zainiatosti,Волкова Вікторія Олегівна,open_data@dcz.gov.ua,https://data.gov.ua/dataset/434e95fe-4814-4ce5-9849-acb55b337880,"1 Дані щодо кількості зареєстрованих безробітних та надання їм послуг, а також кількості зареєстрованих вакансій (434e95fe-4814-4ce5-9849-acb55b337880)"
ce566a1f-4c70-4f5b-958e-78c57e640e77,3 Дані щодо професійного складу зареєстрованих безробітних та вакансій у розрізі професій,Дані щодо професійного складу зареєстрованих безробітних та вакансій у розрізі професій,Постанова КМУ №835 від 21.10.2015,Creative Commons Attribution,cc-by,31,"професії,склад безробітних",2,2018-12-12,2020-09-10,Державна служба зайнятості,derzhavna-sluzhba-zainiatosti,Волкова Вікторія Олегівна,open_data@dcz.gov.ua,https://data.gov.ua/dataset/ce566a1f-4c70-4f5b-958e-78c57e640e77,3 Дані щодо професійного складу зареєстрованих безробітних та вакансій у розрізі професій (ce566a1f-4c70-4f5b-958e-78c57e640e77)
26c3a454-2937-4d51-a757-6c02397a38c5,4. Дані щодо розміру заробітної плати у вакансіях у розрізі професій,Дані щодо розміру заробітної плати у вакансіях у розрізі професій,Постанова КМУ №835 від 21.10.2015,Creative Commons Attribution,cc-by,29,заробітна плата,1,2019-01-11,2020-09-10,Державна служба зайнятості,derzhavna-sluzhba-zainiatosti,Волкова Вікторія Олегівна,open_data@dcz.gov.ua,https://data.gov.ua/dataset/26c3a454-2937-4d51-a757-6c02397a38c5,4. Дані щодо розміру заробітної плати у вакансіях у розрізі професій (26c3a454-2937-4d51-a757-6c02397a38c5)
579e5bfc-93f3-47d4-aa6e-7a7adc7e2b39,"5. Дані щодо працевлаштування громадян суб'єктами господарювання, що надають послуги з посередництва у працевлаштуванні","Дані щодо працевлаштування громадян суб'єктами господарювання, що надають послуги з посередництва у працевлаштуванні",Постанова КМУ №835 від 21.10.2015,Creative Commons Attribution,cc-by,9,працевлаштування,1,2019-01-11,2020-07-24,Державна служба зайнятості,derzhavna-sluzhba-zainiatosti,Волкова Вікторія Олегівна,open_data@dcz.gov.ua,https://data.gov.ua/dataset/579e5bfc-93f3-47d4-aa6e-7a7adc7e2b39,"5. Дані щодо працевлаштування громадян суб'єктами господарювання, що надають послуги з посередництва у працевлаштуванні (579e5bfc-93f3-47d4-aa6e-7a7adc7e2b39)"
a95174b2-ff4b-43f8-bee2-a89d3a258215,6. Перелік актуальних вакансій станом на дату,Перелік актуальних вакансій станом на дату,Постанова КМУ №835 від 21.10.2015,Creative Commons Attribution,cc-by,183,вакансії,1,2019-01-11,2020-10-02,Державна служба зайнятості,derzhavna-sluzhba-zainiatosti,Волкова Вікторія Олегівна,open_data@dcz.gov.ua,https://data.gov.ua/dataset/a95174b2-ff4b-43f8-bee2-a89d3a258215,6. Перелік актуальних вакансій станом на дату (a95174b2-ff4b-43f8-bee2-a89d3a258215)
ce279546-905a-4ad5-b92a-01a9e0736cae,Дані про надану державну підтримку сільського господарства суб'єктам господарювання,Інформація щодо стану фінансування державної підтримки розвитку підприємств АПК за рахунок загального фонду державного бюджету.,"ПОСТАНОВА КАБІНЕТУ МІНІСТРІВ УКРАЇНИ від 21 жовтня 2015 р. № 835 Київ Про затвердження Положення про набори даних, які підлягають оприлюдненню у формі відкритих даних",Creative Commons Attribution,cc-by,2,"утримання корів,дорадчі послуги,розвиток фермерських господарств,кредити,хмелярство,державна підтримка",6,2019-08-01,2019-08-13,Міністерство аграрної політики та продовольства України,minahropolityky-ukrayiny,Карасевич Сергій Петрович,serhii.karasevych@minagro.gov.ua,https://data.gov.ua/dataset/ce279546-905a-4ad5-b92a-01a9e0736cae,Дані про надану державну підтримку сільського господарства суб'єктам господарювання (ce279546-905a-4ad5-b92a-01a9e0736cae)
9a070663-6be5-42e0-8a86-8d767810f494,"Пропозиції, які були розроблені та надіслані Держекоінспекцією до Мінприроди, щодо поліпшення стану довкілля в Україні","Проекти актів, що були розроблені Державною екологічною інспекцією України",Постанова Кабінету Міністрів України від 20.12.2017 №1100,Creative Commons Attribution,cc-by,1,"проекти регуляторних актів,екологія,держекоінспекція",3,2018-11-28,2018-11-28,Державна екологічна інспекція України,derzhavna-ekolohichna-inspektsiia-ukrayiny,Пєндєлєєва Марія Володимирівна,press@dei.gov.ua,https://data.gov.ua/dataset/9a070663-6be5-42e0-8a86-8d767810f494,"Пропозиції, які були розроблені та надіслані Держекоінспекцією до Мінприроди, щодо поліпшення стану довкілля в Україні (9a070663-6be5-42e0-8a86-8d767810f494)"
4a22df49-2ecd-4e0a-9281-6dcbe77f9902,"Звіти, в тому числі щодо задоволення запитів на інформацію","У Звітах про розгляд запитів на отримання інформації зазначається: кількість запитів на отримання інформації, що надійшли у відповідний період; кількість запитів у розрізі шляхів надходження; інформація за тематикою запитів на інформацію, що надійшли до Міністерства соціальної політики.",Постанова Кабінету Міністрів України від 21.11.2012 №1277 «Питання системи обліку публічної інформації» ,Creative Commons Attribution,cc-by,1,"колективні,звернення громадян,повторні,інформаційні запити,звернення",5,2018-09-10,2019-04-02,Міністерство соціальної політики України,ministerstvo-sotsialnoyi-polityky-ukrayiny,Долішня Олена Віталіївна ,Info@mlsp.gov.ua,https://data.gov.ua/dataset/4a22df49-2ecd-4e0a-9281-6dcbe77f9902,"Звіти, в тому числі щодо задоволення запитів на інформацію (4a22df49-2ecd-4e0a-9281-6dcbe77f9902)"
14d646a8-0567-419a-83e3-7046a56f4195,"Перелік ліцензіатів НКРЕКП у сферах  теплопостачання, централізованого водопостачання та водовідведення, що переходять під регулювання місцевих органів влади","Дані про ліцензіатів НКРЕКП у сферах теплопостачання, централізованого водопостачання та водовідведення, що переходять під регулювання місцевих органів влади","Закони України «Про теплопостачання», «Про житлово-комунальні послуги», «Про державне регулювання у сфері комунальних послуг», «Про Національну комісію, що здійснює державне регулювання у сферах енергетики та комунальних послуг»",Creative Commons Attribution,cc-by,3,нкрекп,1,2018-09-14,2019-09-24,"Національна комісія, що здійснює державне регулювання у сферах енергетики та комунальних послуг (НКРЕКП)",natsionalna-komisiia-shcho-zdiisniuie-derzhavne-rehuliuvannia-u-sferakh-enerhetyky-ta-komunalny,Чумак А.В.,public.nabori@nerc.gov.ua,https://data.gov.ua/dataset/14d646a8-0567-419a-83e3-7046a56f4195,"Перелік ліцензіатів НКРЕКП у сферах  теплопостачання, централізованого водопостачання та водовідведення, що переходять під регулювання місцевих органів влади (14d646a8-0567-419a-83e3-7046a56f4195)"
4f711cd9-c451-4c4e-b98e-6af8fa500f73,Вантажооборот за видами транспорту,Вантажооборот за видами транспорту ,"Постанова Кабінету Міністрів України від 21.10.2015 № 835 ""Про затвердження Положення про набори даних, які підлягають оприлюдненню у формі відкритих даних"" (зі змінами, внесеними згідно з Постановами КМ № 1035 від 28.12.2016 і № 354 від 24.05.2017)",Creative Commons Attribution,cc-by,1,"водний,авіаційний,транспорт,морський,річковий,трубопровідний,автомобільний",7,2018-10-25,2020-09-10,Державна служба статистики України,derzhavna-sluzhba-statystyky-ukrayiny,Михайлюк Надія Олександрівна,N.Mihayluk@ukrstat.gov.ua,https://data.gov.ua/dataset/4f711cd9-c451-4c4e-b98e-6af8fa500f73,Вантажооборот за видами транспорту (4f711cd9-c451-4c4e-b98e-6af8fa500f73)
